amdahl,470v/b,26,8000,32000,64,8,32,318,290
honeywell,dps:7/35,330,1000,2000,0,1,2,16,20
honeywell,dps:6/96,300,1000,16000,8,2,112,38,73
apollo,dn420,400,512,3500,4,1,6,40,24
dg,eclipse:mv/8000-ii,220,1000,8000,16,1,2,71,42
cambex,1651-1,50,2000,16000,8,3,6,60,74
ibm,4341,900,2000,4000,0,3,6,37,28
prime,50-750-ii,160,1000,8000,16,1,14,60,43
ibm,4361-5,25,2000,12000,16,3,5,66,65
ncr,v8585:ii,56,4000,12000,0,1,8,42,62
ibm,3083:e,26,8000,16000,0,8,16,185,113
amdahl,470v/7b,29,8000,32000,32,8,32,172,253
basf,7/65,60,2000,8000,65,1,8,92,70
nas,as/5000,92,2000,8000,32,1,6,62,53
amdahl,470v/7a,29,8000,32000,32,8,32,220,253
burroughs,b5900,143,1500,6300,0,5,32,30,35
prime,50-250-ii,160,512,2000,2,3,8,32,20
sperry,1100/81,50,2000,32000,24,6,26,114,182
ibm,38/4,1100,768,2000,0,1,1,13,20
nixdorf,8890/50,200,1000,4000,0,1,4,30,25
honeywell,dps:6/92,300,1000,4000,8,3,64,38,30
siemens,7.875-2,26,8000,24000,32,8,16,173,183
